raceId,driverId,driverName,stop,lapNumber,pitDurationSeconds,compound,stint
2025_R01,ALB,Alexander Albon,1,2,14.91,INTERMEDIATE,2.0
2025_R01,ALB,Alexander Albon,2,3,17.066,INTERMEDIATE,3.0
2025_R01,ALB,Alexander Albon,3,4,14.293,INTERMEDIATE,4.0
2025_R01,ALB,Alexander Albon,4,33,18.675,MEDIUM,5.0
2025_R01,ALB,Alexander Albon,5,44,18.832,INTERMEDIATE,6.0
2025_R01,ALO,Fernando Alonso,1,2,15.57,INTERMEDIATE,2.0
2025_R01,ALO,Fernando Alonso,2,3,16.338,INTERMEDIATE,3.0
2025_R01,ALO,Fernando Alonso,3,4,15.062,INTERMEDIATE,4.0
2025_R01,ANT,Andrea Kimi Antonelli,1,2,14.836,INTERMEDIATE,2.0
2025_R01,ANT,Andrea Kimi Antonelli,2,3,16.435,INTERMEDIATE,3.0
2025_R01,ANT,Andrea Kimi Antonelli,3,4,14.135,INTERMEDIATE,4.0
2025_R01,ANT,Andrea Kimi Antonelli,4,33,19.06,HARD,5.0
2025_R01,ANT,Andrea Kimi Antonelli,5,44,21.968,INTERMEDIATE,6.0
2025_R01,BEA,Oliver Bearman,1,2,14.702,INTERMEDIATE,2.0
2025_R01,BEA,Oliver Bearman,2,3,16.365,INTERMEDIATE,3.0
2025_R01,BEA,Oliver Bearman,3,4,22.298,INTERMEDIATE,4.0
2025_R01,BEA,Oliver Bearman,4,39,22.659,MEDIUM,5.0
2025_R01,BEA,Oliver Bearman,5,44,19.488,INTERMEDIATE,6.0
2025_R01,BOR,Gabriel Bortoleto,1,2,14.642,INTERMEDIATE,2.0
2025_R01,BOR,Gabriel Bortoleto,2,3,16.363,INTERMEDIATE,3.0
2025_R01,BOR,Gabriel Bortoleto,3,4,14.407,INTERMEDIATE,4.0
2025_R01,BOR,Gabriel Bortoleto,4,33,24.016,MEDIUM,5.0
2025_R01,BOR,Gabriel Bortoleto,5,44,26.069,INTERMEDIATE,6.0
2025_R01,GAS,Pierre Gasly,1,2,14.98,INTERMEDIATE,2.0
2025_R01,GAS,Pierre Gasly,2,3,15.838,INTERMEDIATE,3.0
2025_R01,GAS,Pierre Gasly,3,4,14.732,INTERMEDIATE,4.0
2025_R01,GAS,Pierre Gasly,4,33,19.609,HARD,5.0
2025_R01,GAS,Pierre Gasly,5,46,19.735,INTERMEDIATE,6.0
2025_R01,HAM,Lewis Hamilton,1,2,14.732,INTERMEDIATE,2.0
2025_R01,HAM,Lewis Hamilton,2,3,16.342,INTERMEDIATE,3.0
2025_R01,HAM,Lewis Hamilton,3,4,14.85,INTERMEDIATE,4.0
2025_R01,HAM,Lewis Hamilton,4,33,18.609,HARD,5.0
2025_R01,HAM,Lewis Hamilton,5,47,20.919,INTERMEDIATE,6.0
2025_R01,HUL,Nico Hulkenberg,1,2,15.309,INTERMEDIATE,2.0
2025_R01,HUL,Nico Hulkenberg,2,3,16.012,INTERMEDIATE,3.0
2025_R01,HUL,Nico Hulkenberg,3,4,14.202,INTERMEDIATE,4.0
2025_R01,HUL,Nico Hulkenberg,4,33,21.123,MEDIUM,5.0
2025_R01,HUL,Nico Hulkenberg,5,44,20.163,INTERMEDIATE,6.0
2025_R01,LAW,Liam Lawson,1,2,14.769,INTERMEDIATE,2.0
2025_R01,LAW,Liam Lawson,2,3,16.161,INTERMEDIATE,3.0
2025_R01,LAW,Liam Lawson,3,4,18.769,INTERMEDIATE,4.0
2025_R01,LAW,Liam Lawson,4,33,20.029,MEDIUM,5.0
2025_R01,LEC,Charles Leclerc,1,2,14.178,INTERMEDIATE,2.0
2025_R01,LEC,Charles Leclerc,2,3,14.621,INTERMEDIATE,3.0
2025_R01,LEC,Charles Leclerc,3,4,14.225,INTERMEDIATE,4.0
2025_R01,LEC,Charles Leclerc,4,34,18.143,HARD,5.0
2025_R01,LEC,Charles Leclerc,5,47,24.467,INTERMEDIATE,6.0
2025_R01,NOR,Lando Norris,1,2,13.499,INTERMEDIATE,2.0
2025_R01,NOR,Lando Norris,2,3,12.853,INTERMEDIATE,3.0
2025_R01,NOR,Lando Norris,3,4,12.783,INTERMEDIATE,4.0
2025_R01,NOR,Lando Norris,4,34,18.517,HARD,5.0
2025_R01,NOR,Lando Norris,5,44,17.905,INTERMEDIATE,6.0
2025_R01,OCO,Esteban Ocon,1,2,14.459,INTERMEDIATE,2.0
2025_R01,OCO,Esteban Ocon,2,3,16.56,INTERMEDIATE,3.0
2025_R01,OCO,Esteban Ocon,3,4,19.664,INTERMEDIATE,4.0
2025_R01,OCO,Esteban Ocon,4,39,18.947,MEDIUM,5.0
2025_R01,OCO,Esteban Ocon,5,46,19.961,INTERMEDIATE,6.0
2025_R01,PIA,Oscar Piastri,1,2,13.046,INTERMEDIATE,2.0
2025_R01,PIA,Oscar Piastri,2,3,13.957,INTERMEDIATE,3.0
2025_R01,PIA,Oscar Piastri,3,4,12.801,INTERMEDIATE,4.0
2025_R01,PIA,Oscar Piastri,4,34,19.617,HARD,5.0
2025_R01,PIA,Oscar Piastri,5,44,19.751,INTERMEDIATE,6.0
2025_R01,RUS,George Russell,1,2,13.826,INTERMEDIATE,2.0
2025_R01,RUS,George Russell,2,3,14.201,INTERMEDIATE,3.0
2025_R01,RUS,George Russell,3,4,13.763,INTERMEDIATE,4.0
2025_R01,RUS,George Russell,4,34,19.247,HARD,5.0
2025_R01,RUS,George Russell,5,44,19.44,INTERMEDIATE,6.0
2025_R01,STR,Lance Stroll,1,2,15.721,INTERMEDIATE,2.0
2025_R01,STR,Lance Stroll,2,3,16.135,INTERMEDIATE,3.0
2025_R01,STR,Lance Stroll,3,4,14.469,INTERMEDIATE,4.0
2025_R01,STR,Lance Stroll,4,33,18.751,HARD,5.0
2025_R01,STR,Lance Stroll,5,44,18.924,INTERMEDIATE,6.0
2025_R01,TSU,Yuki Tsunoda,1,2,14.912,INTERMEDIATE,2.0
2025_R01,TSU,Yuki Tsunoda,2,3,15.145,INTERMEDIATE,3.0
2025_R01,TSU,Yuki Tsunoda,3,4,13.554,INTERMEDIATE,4.0
2025_R01,TSU,Yuki Tsunoda,4,33,18.948,MEDIUM,5.0
2025_R01,TSU,Yuki Tsunoda,5,47,19.268,INTERMEDIATE,6.0
2025_R01,VER,Max Verstappen,1,2,13.453,INTERMEDIATE,2.0
2025_R01,VER,Max Verstappen,2,3,13.806,INTERMEDIATE,3.0
2025_R01,VER,Max Verstappen,3,4,12.991,INTERMEDIATE,4.0
2025_R01,VER,Max Verstappen,4,34,18.659,MEDIUM,5.0
2025_R01,VER,Max Verstappen,5,46,18.82,INTERMEDIATE,6.0
2025_R02,ALB,Alexander Albon,1,20,23.503,HARD,2.0
2025_R02,ALO,Fernando Alonso,1,4,,,
2025_R02,ANT,Kimi Antonelli,1,12,22.787,HARD,2.0
2025_R02,BEA,Oliver Bearman,1,26,22.885,MEDIUM,2.0
2025_R02,BOR,Gabriel Bortoleto,1,1,23.363,HARD,2.0
2025_R02,BOR,Gabriel Bortoleto,2,26,22.854,HARD,3.0
2025_R02,DOO,Jack Doohan,1,11,22.749,HARD,2.0
2025_R02,GAS,Pierre Gasly,1,10,23.066,HARD,2.0
2025_R02,HAD,Isack Hadjar,1,12,22.875,HARD,2.0
2025_R02,HAD,Isack Hadjar,2,33,22.259,HARD,3.0
2025_R02,HAM,Lewis Hamilton,1,13,22.355,HARD,2.0
2025_R02,HAM,Lewis Hamilton,2,37,22.394,HARD,3.0
2025_R02,HUL,Nico Hulkenberg,1,20,22.981,HARD,2.0
2025_R02,LAW,Liam Lawson,1,18,22.522,MEDIUM,2.0
2025_R02,LAW,Liam Lawson,2,30,22.316,HARD,3.0
2025_R02,LEC,Charles Leclerc,1,15,22.282,HARD,2.0
2025_R02,NOR,Lando Norris,1,15,22.202,HARD,2.0
2025_R02,OCO,Esteban Ocon,1,11,23.04,HARD,2.0
2025_R02,PIA,Oscar Piastri,1,14,23.855,HARD,2.0
2025_R02,RUS,George Russell,1,14,22.285,HARD,2.0
2025_R02,SAI,Carlos Sainz,1,17,22.836,HARD,2.0
2025_R02,STR,Lance Stroll,1,36,22.895,MEDIUM,2.0
2025_R02,TSU,Yuki Tsunoda,1,11,22.471,HARD,2.0
2025_R02,TSU,Yuki Tsunoda,2,35,22.492,HARD,3.0
2025_R02,TSU,Yuki Tsunoda,3,46,37.94,MEDIUM,4.0
2025_R02,VER,Max Verstappen,1,13,22.474,HARD,2.0
2025_R03,ALB,Alexander Albon,1,24,23.0,HARD,2.0
2025_R03,ALO,Fernando Alonso,1,24,25.682,HARD,2.0
2025_R03,ANT,Kimi Antonelli,1,31,24.344,HARD,2.0
2025_R03,BEA,Oliver Bearman,1,23,24.812,HARD,2.0
2025_R03,BOR,Gabriel Bortoleto,1,31,23.359,MEDIUM,2.0
2025_R03,DOO,Jack Doohan,1,15,23.157,HARD,2.0
2025_R03,GAS,Pierre Gasly,1,24,26.02,HARD,2.0
2025_R03,HAD,Isack Hadjar,1,25,23.25,HARD,2.0
2025_R03,HAM,Lewis Hamilton,1,30,23.016,MEDIUM,2.0
2025_R03,HUL,Nico Hulkenberg,1,22,23.625,HARD,2.0
2025_R03,LAW,Liam Lawson,1,33,23.469,SOFT,2.0
2025_R03,LEC,Charles Leclerc,1,21,23.234,HARD,2.0
2025_R03,NOR,Lando Norris,1,21,23.219,HARD,2.0
2025_R03,OCO,Esteban Ocon,1,32,24.442,MEDIUM,2.0
2025_R03,PIA,Oscar Piastri,1,20,22.917,HARD,2.0
2025_R03,RUS,George Russell,1,19,23.219,HARD,2.0
2025_R03,SAI,Carlos Sainz,1,33,23.219,SOFT,2.0
2025_R03,STR,Lance Stroll,1,9,23.639,HARD,2.0
2025_R03,STR,Lance Stroll,2,30,23.708,MEDIUM,3.0
2025_R03,TSU,Yuki Tsunoda,1,23,24.079,HARD,2.0
2025_R03,VER,Max Verstappen,1,21,24.578,HARD,2.0
2025_R04,ALB,Alexander Albon,1,16,25.424,HARD,2.0
2025_R04,ALB,Alexander Albon,2,32,26.091,MEDIUM,3.0
2025_R04,ALO,Fernando Alonso,1,16,24.958,MEDIUM,2.0
2025_R04,ALO,Fernando Alonso,2,32,24.783,HARD,3.0
2025_R04,ANT,Kimi Antonelli,1,12,24.859,MEDIUM,2.0
2025_R04,ANT,Kimi Antonelli,2,27,24.417,SOFT,3.0
2025_R04,ANT,Kimi Antonelli,3,32,24.642,SOFT,4.0
2025_R04,BEA,Oliver Bearman,1,14,24.643,HARD,2.0
2025_R04,BEA,Oliver Bearman,2,32,25.032,SOFT,3.0
2025_R04,BOR,Gabriel Bortoleto,1,13,24.069,HARD,2.0
2025_R04,BOR,Gabriel Bortoleto,2,32,25.306,MEDIUM,3.0
2025_R04,DOO,Jack Doohan,1,9,24.805,MEDIUM,2.0
2025_R04,DOO,Jack Doohan,2,28,25.139,HARD,3.0
2025_R04,GAS,Pierre Gasly,1,10,25.022,MEDIUM,2.0
2025_R04,GAS,Pierre Gasly,2,28,24.905,HARD,3.0
2025_R04,HAD,Isack Hadjar,1,6,25.285,MEDIUM,2.0
2025_R04,HAD,Isack Hadjar,2,28,24.422,HARD,3.0
2025_R04,HAM,Lewis Hamilton,1,17,24.36,MEDIUM,2.0
2025_R04,HAM,Lewis Hamilton,2,32,24.423,HARD,3.0
2025_R04,HUL,Nico Hulkenberg,1,5,24.103,MEDIUM,2.0
2025_R04,HUL,Nico Hulkenberg,2,27,24.187,MEDIUM,3.0
2025_R04,LAW,Liam Lawson,1,14,25.192,HARD,2.0
2025_R04,LAW,Liam Lawson,2,32,23.942,SOFT,3.0
2025_R04,LEC,Charles Leclerc,1,17,24.701,MEDIUM,2.0
2025_R04,LEC,Charles Leclerc,2,32,24.237,HARD,3.0
2025_R04,NOR,Lando Norris,1,10,29.615,MEDIUM,2.0
2025_R04,NOR,Lando Norris,2,32,24.059,MEDIUM,3.0
2025_R04,OCO,Esteban Ocon,1,8,24.947,MEDIUM,2.0
2025_R04,OCO,Esteban Ocon,2,27,25.165,HARD,3.0
2025_R04,PIA,Oscar Piastri,1,14,24.553,MEDIUM,2.0
2025_R04,PIA,Oscar Piastri,2,32,24.968,MEDIUM,3.0
2025_R04,RUS,George Russell,1,13,23.939,MEDIUM,2.0
2025_R04,RUS,George Russell,2,32,24.047,SOFT,3.0
2025_R04,SAI,Carlos Sainz,1,14,24.577,MEDIUM,2.0
2025_R04,SAI,Carlos Sainz,2,32,24.455,HARD,3.0
2025_R04,SAI,Carlos Sainz,3,44,36.961,SOFT,4.0
2025_R04,SAI,Carlos Sainz,4,45,,,
2025_R04,STR,Lance Stroll,1,12,24.603,MEDIUM,2.0
2025_R04,STR,Lance Stroll,2,32,24.491,HARD,3.0
2025_R04,TSU,Yuki Tsunoda,1,11,26.466,MEDIUM,2.0
2025_R04,TSU,Yuki Tsunoda,2,32,24.795,SOFT,3.0
2025_R04,VER,Max Verstappen,1,10,26.526,HARD,2.0
2025_R04,VER,Max Verstappen,2,26,28.242,MEDIUM,3.0
2025_R05,ALB,Alexander Albon,1,22,22.118,HARD,2.0
2025_R05,ALO,Fernando Alonso,1,19,21.987,HARD,2.0
2025_R05,ANT,Kimi Antonelli,1,19,20.469,HARD,2.0
2025_R05,BEA,Oliver Bearman,1,18,21.942,HARD,2.0
2025_R05,BOR,Gabriel Bortoleto,1,1,21.845,HARD,2.0
2025_R05,DOO,Jack Doohan,1,1,20.407,HARD,2.0
2025_R05,DOO,Jack Doohan,2,32,21.634,HARD,3.0
2025_R05,HAD,Isack Hadjar,1,34,20.699,MEDIUM,2.0
2025_R05,HAM,Lewis Hamilton,1,23,20.281,HARD,2.0
2025_R05,HUL,Nico Hulkenberg,1,33,20.5,MEDIUM,2.0
2025_R05,LAW,Liam Lawson,1,20,20.548,HARD,2.0
2025_R05,LEC,Charles Leclerc,1,29,20.153,HARD,2.0
2025_R05,NOR,Lando Norris,1,34,20.394,MEDIUM,2.0
2025_R05,OCO,Esteban Ocon,1,1,21.563,HARD,2.0
2025_R05,PIA,Oscar Piastri,1,19,21.301,HARD,2.0
2025_R05,RUS,George Russell,1,20,20.235,HARD,2.0
2025_R05,SAI,Carlos Sainz,1,21,23.996,HARD,2.0
2025_R05,STR,Lance Stroll,1,39,20.466,MEDIUM,2.0
2025_R05,TSU,Yuki Tsunoda,1,1,,,
2025_R05,VER,Max Verstappen,1,21,26.05,HARD,2.0
2025_R06,ALB,Alexander Albon,1,26,21.972,MEDIUM,1.0
2025_R06,ALO,Fernando Alonso,1,28,23.489,HARD,1.0
2025_R06,ANT,Kimi Antonelli,1,25,24.43,MEDIUM,1.0
2025_R06,BOR,Gabriel Bortoleto,1,19,22.199,nan,
2025_R06,GAS,Pierre Gasly,1,32,22.089,MEDIUM,2.0
2025_R06,HAD,Isack Hadjar,1,22,22.199,nan,
2025_R06,HAM,Lewis Hamilton,1,28,23.15,HARD,1.0
2025_R06,HUL,Nico Hulkenberg,1,36,22.16,MEDIUM,2.0
2025_R06,LAW,Liam Lawson,1,28,22.376,HARD,1.0
2025_R06,LAW,Liam Lawson,2,36,,,
2025_R06,LEC,Charles Leclerc,1,29,22.158,MEDIUM,1.0
2025_R06,NOR,Lando Norris,1,29,22.004,MEDIUM,1.0
2025_R06,OCO,Esteban Ocon,1,23,23.074,HARD,1.0
2025_R06,PIA,Oscar Piastri,1,29,22.095,MEDIUM,1.0
2025_R06,RUS,George Russell,1,29,24.208,HARD,1.0
2025_R06,SAI,Carlos Sainz,1,25,22.525,MEDIUM,1.0
2025_R06,STR,Lance Stroll,1,20,22.283,nan,
2025_R06,TSU,Yuki Tsunoda,1,27,22.581,MEDIUM,1.0
2025_R06,VER,Max Verstappen,1,26,22.44,MEDIUM,1.0
2025_R07,ALB,Alexander Albon,1,29,30.566,HARD,2.0
2025_R07,ALB,Alexander Albon,2,47,29.825,HARD,3.0
2025_R07,ALO,Fernando Alonso,1,12,30.237,HARD,2.0
2025_R07,ALO,Fernando Alonso,2,46,30.995,MEDIUM,3.0
2025_R07,ANT,Kimi Antonelli,1,29,29.94,MEDIUM,2.0
2025_R07,BEA,Oliver Bearman,1,29,31.376,MEDIUM,2.0
2025_R07,BEA,Oliver Bearman,2,31,56.723,HARD,3.0
2025_R07,BOR,Gabriel Bortoleto,1,12,30.775,HARD,2.0
2025_R07,BOR,Gabriel Bortoleto,2,29,30.752,HARD,3.0
2025_R07,BOR,Gabriel Bortoleto,3,46,29.886,MEDIUM,4.0
2025_R07,COL,Franco Colapinto,1,22,30.258,HARD,2.0
2025_R07,COL,Franco Colapinto,2,46,31.169,HARD,3.0
2025_R07,GAS,Pierre Gasly,1,9,31.522,HARD,2.0
2025_R07,GAS,Pierre Gasly,2,29,31.877,HARD,3.0
2025_R07,HAD,Isack Hadjar,1,29,30.144,HARD,2.0
2025_R07,HAD,Isack Hadjar,2,46,30.279,HARD,3.0
2025_R07,HAM,Lewis Hamilton,1,29,30.038,MEDIUM,2.0
2025_R07,HAM,Lewis Hamilton,2,46,29.968,HARD,3.0
2025_R07,HUL,Nico Hulkenberg,1,29,30.266,MEDIUM,2.0
2025_R07,LAW,Liam Lawson,1,10,29.652,HARD,2.0
2025_R07,LAW,Liam Lawson,2,29,30.237,HARD,3.0
2025_R07,LEC,Charles Leclerc,1,10,29.587,HARD,2.0
2025_R07,LEC,Charles Leclerc,2,29,31.974,HARD,3.0
2025_R07,NOR,Lando Norris,1,28,29.507,HARD,2.0
2025_R07,NOR,Lando Norris,2,46,31.796,HARD,3.0
2025_R07,OCO,Esteban Ocon,1,1,30.472,HARD,2.0
2025_R07,PIA,Oscar Piastri,1,13,30.935,HARD,2.0
2025_R07,PIA,Oscar Piastri,2,30,30.461,HARD,3.0
2025_R07,RUS,George Russell,1,11,29.716,HARD,2.0
2025_R07,RUS,George Russell,2,29,30.72,HARD,3.0
2025_R07,SAI,Carlos Sainz,1,11,30.148,HARD,2.0
2025_R07,SAI,Carlos Sainz,2,29,30.517,HARD,3.0
2025_R07,STR,Lance Stroll,1,14,31.266,HARD,2.0
2025_R07,STR,Lance Stroll,2,46,34.519,MEDIUM,3.0
2025_R07,TSU,Yuki Tsunoda,1,29,29.97,MEDIUM,2.0
2025_R07,VER,Max Verstappen,1,29,30.051,HARD,2.0
2025_R07,VER,Max Verstappen,2,46,29.784,HARD,3.0
2025_R08,ALB,Alexander Albon,1,32,23.882,MEDIUM,2.0
2025_R08,ALB,Alexander Albon,2,40,23.985,HARD,3.0
2025_R08,ALO,Fernando Alonso,1,16,25.468,HARD,2.0
2025_R08,ANT,Kimi Antonelli,1,69,24.374,MEDIUM,2.0
2025_R08,ANT,Kimi Antonelli,2,71,24.731,HARD,3.0
2025_R08,BEA,Oliver Bearman,1,1,50.169,HARD,2.0
2025_R08,BEA,Oliver Bearman,2,17,24.433,MEDIUM,3.0
2025_R08,BOR,Gabriel Bortoleto,1,1,37.316,HARD,2.0
2025_R08,BOR,Gabriel Bortoleto,2,26,24.525,SOFT,3.0
2025_R08,BOR,Gabriel Bortoleto,3,35,24.443,MEDIUM,4.0
2025_R08,COL,Franco Colapinto,1,13,24.37,MEDIUM,2.0
2025_R08,COL,Franco Colapinto,2,26,24.641,MEDIUM,3.0
2025_R08,GAS,Pierre Gasly,1,1,24.349,MEDIUM,2.0
2025_R08,GAS,Pierre Gasly,2,8,,,
2025_R08,HAD,Isack Hadjar,1,14,24.094,SOFT,2.0
2025_R08,HAD,Isack Hadjar,2,19,23.75,HARD,3.0
2025_R08,HAM,Lewis Hamilton,1,18,23.516,HARD,2.0
2025_R08,HAM,Lewis Hamilton,2,56,24.041,MEDIUM,3.0
2025_R08,HUL,Nico Hulkenberg,1,12,23.975,HARD,2.0
2025_R08,HUL,Nico Hulkenberg,2,44,24.49,SOFT,3.0
2025_R08,LAW,Liam Lawson,1,31,23.906,SOFT,2.0
2025_R08,LAW,Liam Lawson,2,40,24.047,HARD,3.0
2025_R08,LEC,Charles Leclerc,1,22,23.531,HARD,2.0
2025_R08,LEC,Charles Leclerc,2,49,23.578,MEDIUM,3.0
