round_no,raceId,teamName,medianLap_sec,meanLap_sec,bestLap_sec,lapsCount
1,1,Alpine,85.02,85.02,85.02,1
1,1,Aston Martin,86.4195,86.4195,85.538,2
1,1,Ferrari,86.051,85.957,84.218,4
1,1,Haas F1 Team,87.1835,87.1835,86.764,2
1,1,Kick Sauber,85.0065,85.41925,84.192,4
1,1,McLaren,87.126,85.75788889,82.167,9
1,1,Mercedes,85.652,85.9275,84.901,4
1,1,Racing Bulls,85.67,85.67,84.194,2
1,1,Red Bull Racing,85.8245,85.304125,82.97,8
1,1,Williams,85.862,85.862,84.597,2
2,2,Alpine,98.188,98.14026415,96.424,106
2,2,Aston Martin,98.537,98.19094545,96.044,55
2,2,Ferrari,97.23,97.17919048,95.069,105
2,2,Haas F1 Team,97.8015,97.83912264,95.74,106
2,2,Kick Sauber,98.441,98.48012745,95.874,102
2,2,McLaren,96.9125,97.04368519,95.454,108
2,2,Mercedes,97.399,97.50774766,95.816,107
2,2,Racing Bulls,97.875,97.84976768,95.868,99
2,2,Red Bull Racing,97.284,97.50555769,95.488,104
2,2,Williams,97.91,97.97945283,96.254,106
3,3,Alpine,93.2775,93.60842,91.82,100
3,3,Aston Martin,93.3975,93.55669792,91.77,96
3,3,Ferrari,92.6735,92.84013,91.406,100
3,3,Haas F1 Team,93.906,93.64079,91.967,100
3,3,Kick Sauber,93.6665,93.85697,92.034,100
3,3,McLaren,92.1785,92.54208824,91.039,102
3,3,Mercedes,92.937,92.73398,90.965,100
3,3,Racing Bulls,93.8585,93.47952,91.317,100
3,3,Red Bull Racing,92.646,92.96269307,91.041,101
3,3,Williams,93.8965,93.41573,91.106,100
4,4,Alpine,98.392,98.35608333,96.531,96
4,4,Aston Martin,98.977,99.14114,97.906,100
4,4,Ferrari,97.695,97.86909901,96.132,101
4,4,Haas F1 Team,98.4285,98.50080612,97.098,98
4,4,Kick Sauber,99.1345,99.08602041,97.338,98
4,4,McLaren,97.6735,97.41717647,95.14,102
4,4,Mercedes,98.018,98.00292929,95.518,99
4,4,Racing Bulls,98.847,98.83773469,96.952,98
4,4,Red Bull Racing,98.4055,98.34538776,96.167,98
4,4,Williams,98.699,98.81390588,96.954,85
5,5,Alpine,95.824,95.57365909,93.15,44
5,5,Aston Martin,95.183,95.01230682,92.745,88
5,5,Ferrari,93.6055,93.71964444,92.192,90
5,5,Haas F1 Team,95.1765,95.15803333,93.238,90
5,5,Kick Sauber,95.6155,95.55062791,93.446,86
5,5,McLaren,93.1785,93.33035556,91.778,90
5,5,Mercedes,93.8045,93.87161111,92.396,90
5,5,Racing Bulls,94.725,94.64358889,92.998,90
5,5,Red Bull Racing,93.02,93.19106667,92.28,45
5,5,Williams,94.3965,94.53202222,92.466,90
6,6,Alpine,92.784,92.58248,91.159,50
6,6,Aston Martin,92.855,92.89064211,91.287,95
6,6,Ferrari,92.195,92.01546078,90.461,102
6,6,Haas F1 Team,93.0575,92.73258333,91.122,72
6,6,Kick Sauber,93.241,92.77067143,91.015,70
6,6,McLaren,91.277,91.19219802,89.746,101
6,6,Mercedes,91.6705,91.8656,90.318,100
6,6,Racing Bulls,93.151,92.91341558,90.971,77
6,6,Red Bull Racing,91.652,91.9914,90.466,100
6,6,Williams,91.464,91.90293878,90.482,98
7,7,Alpine,81.805,81.79842105,80.345,95
7,7,Aston Martin,81.988,81.90892632,79.894,95
7,7,Ferrari,81.0865,81.0702451,78.265,102
7,7,Haas F1 Team,82.072,81.76123944,79.521,71
7,7,Kick Sauber,82.0925,81.91555102,80.401,98
7,7,McLaren,80.829,80.51593939,78.311,99
7,7,Mercedes,81.583,81.50777778,79.733,90
7,7,Racing Bulls,81.7785,81.60402041,79.473,98
7,7,Red Bull Racing,81.2295,81.05589,77.988,100
7,7,Williams,81.507,81.26148485,78.289,99
8,8,Alpine,77.2855,77.01584375,75.298,32
8,8,Aston Martin,76.84,76.83919608,74.877,51
8,8,Ferrari,75.431,75.52523622,74.055,127
8,8,Haas F1 Team,77.056,76.93816854,74.855,89
8,8,Kick Sauber,77.037,77.00646269,74.884,67
8,8,McLaren,75.1415,75.30925385,73.221,130
8,8,Mercedes,76.207,76.04915556,73.405,45
8,8,Racing Bulls,76.798,76.81309174,75.321,109
8,8,Red Bull Racing,75.551,75.93497701,74.23,87
8,8,Williams,76.154,76.12064935,73.988,77
9,9,Alpine,80.273,80.08854839,77.896,31
9,9,Aston Martin,79.9085,79.91011111,78.128,18
9,9,Ferrari,80.061,79.86544578,77.259,83
9,9,Haas F1 Team,80.386,80.26793939,78.624,33
9,9,Kick Sauber,79.936,79.72932,77.575,25
9,9,McLaren,79.968,79.64724272,75.743,103
9,9,Mercedes,80.421,79.948,77.244,63
9,9,Racing Bulls,80.7295,80.27756818,77.77,44
9,9,Red Bull Racing,79.954,79.71369863,77.019,73
9,9,Williams,80.543,80.51643478,79.317,23
10,10,Alpine,77.456,77.33913821,74.993,123
10,10,Aston Martin,76.673,76.72654237,74.902,118
10,10,Ferrari,76.027,76.01628926,74.261,121
10,10,Haas F1 Team,77.174,77.07954098,74.593,122
10,10,Kick Sauber,77.257,77.08694262,75.372,122
10,10,McLaren,75.5155,75.60186066,74.229,122
10,10,Mercedes,75.5635,75.5497541,74.119,122
10,10,Racing Bulls,77.518,77.51187273,76.292,110
10,10,Red Bull Racing,76.385,76.41308197,74.287,122
10,10,Williams,77.2655,77.1454,74.389,100
11,11,Alpine,71.0505,71.07534746,69.621,118
11,11,Aston Martin,70.953,70.966775,69.214,120
11,11,Ferrari,69.947,70.03370635,68.628,126
11,11,Haas F1 Team,70.836,70.90436066,69.55,122
11,11,Kick Sauber,70.796,70.73324194,69.247,124
11,11,McLaren,69.6285,69.68765873,67.924,126
11,11,Mercedes,70.574,70.59884127,69.372,63
11,11,Racing Bulls,71.119,71.10256,69.977,125
11,11,Red Bull Racing,70.7785,70.98826786,69.802,56
11,11,Williams,71.163,71.19744444,70.641,9
12,12,Alpine,91.6445,91.768,90.751,8
12,12,Aston Martin,92.4,92.32264706,90.353,17
12,12,Ferrari,91.328,91.79594118,90.016,17
12,12,Haas F1 Team,91.273,91.83758824,90.818,17
12,12,Kick Sauber,91.5865,91.7835,90.933,8
12,12,McLaren,90.269,90.81346667,89.337,15
12,12,Mercedes,91.6075,91.767625,90.869,8
12,12,Red Bull Racing,91.649,92.03373333,90.179,15
12,12,Williams,91.07,91.76988235,90.047,17
13,13,Alpine,107.838,108.11105,106.104,60
13,13,Aston Martin,107.877,107.9301017,105.849,59
13,13,Ferrari,107.014,107.181746,106.174,63
13,13,Haas F1 Team,107.8075,107.9182667,106.709,60
13,13,Kick Sauber,107.5675,107.6183167,105.068,60
13,13,McLaren,106.389,106.5806721,105.257,61
13,13,Mercedes,107.229,107.5077833,104.861,60
13,13,Racing Bulls,108.0925,108.0877069,106.649,58
13,13,Red Bull Racing,107.37,107.4400164,106.096,61
13,13,Williams,107.2005,107.5459333,106.073,60
14,14,Alpine,82.669,82.79376563,80.827,128
14,14,Aston Martin,82.437,82.1751203,80.113,133
14,14,Ferrari,81.8875,82.06794615,80.022,130
14,14,Haas F1 Team,83.368,83.16972222,81.916,108
14,14,Kick Sauber,82.547,82.33027481,80.013,131
14,14,McLaren,81.0575,81.16687121,79.412,132
14,14,Mercedes,81.6555,81.90136923,79.409,130
14,14,Racing Bulls,82.992,82.39232824,80.457,131
14,14,Red Bull Racing,82.239,82.34675591,79.576,127
14,14,Williams,82.661,82.6399685,79.79,127
